Anodizado
Fecha: 10-Jan-2014 15:43:56
Tension	Corriente
5.620000e+001	5.913690e-004
5.626667e+001	5.914240e-004
5.633333e+001	5.911210e-004
5.640000e+001	5.902130e-004
5.646667e+001	5.929330e-004
5.653333e+001	5.913130e-004
5.660000e+001	5.913530e-004
5.666667e+001	5.911820e-004
5.673333e+001	5.927940e-004
5.680000e+001	5.934940e-004
5.686667e+001	5.954790e-004
5.693333e+001	5.970160e-004
5.700000e+001	5.981750e-004
5.706667e+001	6.003400e-004
5.713333e+001	6.033180e-004
5.720000e+001	6.023630e-004
5.726667e+001	6.025030e-004
5.733333e+001	6.024490e-004
5.740000e+001	6.045190e-004
5.746667e+001	6.065730e-004
